"","Zipcode","City","State","Lat","Long","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"12918",52320,"OLIN","IA",41.99,-91.14,537,959,16523205
"12919",52576,"OLLIE","IA",41.19,-92.09,255,464,6828069
"12920",51040,"ONAWA","IA",42.02,-96.08,1637,2819,46678529
"12923",51041,"ORANGE CITY","IA",43,-96.05,2719,5168,95437498
"12925",50858,"ORIENT","IA",41.2,-94.41,381,701,9988423
"12927",50461,"OSAGE","IA",43.28,-92.81,2625,4708,74888583
"12928",50213,"OSCEOLA","IA",41.03,-93.77,3136,5585,94266008
"12929",52577,"OSKALOOSA","IA",41.29,-92.63,6559,11691,224821047
"12930",52161,"OSSIAN","IA",43.14,-91.76,693,1243,20293567
"12931",50214,"OTLEY","IA",41.45,-93.03,351,715,17018632
"12934",52501,"OTTUMWA","IA",41.01,-92.41,13382,23442,409718484
"12935",52322,"OXFORD","IA",41.72,-91.78,1204,2117,43566990
"12936",52323,"OXFORD JUNCTION","IA",41.98,-90.95,399,704,10416659
"12940",52324,"PALO","IA",42.06,-91.79,814,1575,40544803
"12941",50216,"PANORA","IA",41.69,-94.36,1306,2424,55330227
"12942",50665,"PARKERSBURG","IA",42.57,-92.78,1277,2392,43394524
"12943",52325,"PARNELL","IA",41.58,-92,362,678,14844037
"12944",50217,"PATON","IA",42.16,-94.25,272,485,8641449
"12946",51046,"PAULLINA","IA",42.97,-95.68,798,1444,20635586
"12947",50219,"PELLA","IA",41.4,-92.91,5824,11011,265707451
"12948",52068,"PEOSTA","IA",42.44,-90.85,1699,3394,80505659
"12949",50220,"PERRY","IA",41.84,-94.09,3815,6920,126802751
"12951",51047,"PETERSON","IA",42.91,-95.34,316,576,7515857
"12952",51048,"PIERSON","IA",42.54,-95.86,266,494,7136763
"12955",50666,"PLAINFIELD","IA",42.84,-92.53,462,878,16327638
"12958",50225,"PLEASANTVILLE","IA",41.38,-93.26,1327,2451,48708892
"12960",50464,"PLYMOUTH","IA",43.24,-93.12,307,560,9575651
"12961",50574,"POCAHONTAS","IA",42.73,-94.66,1068,1870,27998525
"12962",50226,"POLK CITY","IA",41.77,-93.71,2002,3947,122315878
"12963",50575,"POMEROY","IA",42.55,-94.67,428,748,9942540
"12964",52162,"POSTVILLE","IA",43.08,-91.56,1424,2664,35518253
"12965",50228,"PRAIRIE CITY","IA",41.59,-93.23,1069,2051,43485311
"12966",50859,"PRESCOTT","IA",41.02,-94.61,279,532,7406927
"12967",52069,"PRESTON","IA",42.04,-90.39,752,1356,23630672
"12969",51245,"PRIMGHAR","IA",43.08,-95.62,638,1143,18226479
"12970",52768,"PRINCETON","IA",41.67,-90.35,663,1205,24356683
"12971",50229,"PROLE","IA",41.38,-93.73,495,936,25583205
"12975",52326,"QUASQUETON","IA",42.39,-91.75,259,461,7510326
"12976",51049,"QUIMBY","IA",42.62,-95.64,262,456,6749076
"12977",50230,"RADCLIFFE","IA",42.31,-93.43,510,938,15869229
"12981",50667,"RAYMOND","IA",42.46,-92.22,379,700,15459902
"12982",50668,"READLYN","IA",42.7,-92.22,571,1059,18857077
"12985",50233,"REDFIELD","IA",41.59,-94.19,633,1123,19690254
"12986",50669,"REINBECK","IA",42.32,-92.59,1148,2101,42719793
"12988",51050,"REMSEN","IA",42.81,-95.97,1314,2409,38314515
"12990",50234,"RHODES","IA",41.92,-93.18,253,456,10293103
"12992",50466,"RICEVILLE","IA",43.36,-92.55,777,1445,19061819
"12993",52585,"RICHLAND","IA",41.18,-91.99,432,810,12156399
"12995",52165,"RIDGEWAY","IA",43.29,-91.99,481,884,13150453
"12996",50578,"RINGSTED","IA",43.29,-94.5,316,557,7290982
"12998",52327,"RIVERSIDE","IA",41.48,-91.57,1404,2591,57800467
"12999",50468,"ROCKFORD","IA",43.05,-92.94,753,1364,23502724
"13000",51246,"ROCK RAPIDS","IA",43.42,-96.16,1575,2941,51651641
"13001",51247,"ROCK VALLEY","IA",43.2,-96.29,2006,3891,64682549
"13002",50469,"ROCKWELL","IA",42.97,-93.18,757,1375,24447842
"13003",50579,"ROCKWELL CITY","IA",42.39,-94.63,1183,2094,31771414
"13005",50236,"ROLAND","IA",42.16,-93.5,724,1384,32932245
"13006",50581,"ROLFE","IA",42.81,-94.53,441,807,10630311
"13009",52329,"ROWLEY","IA",42.36,-91.84,404,717,13091457
"13011",51357,"ROYAL","IA",43.06,-95.28,356,621,9207435
"13012",50471,"RUDD","IA",43.12,-92.9,345,614,9547507
"13013",50237,"RUNNELLS","IA",41.51,-93.35,1348,2642,65711616
"13014",50238,"RUSSELL","IA",40.98,-93.2,516,954,14566245
"13015",51358,"RUTHVEN","IA",43.12,-94.89,636,1127,17286106
"13017",52330,"RYAN","IA",42.35,-91.48,376,722,13194206
"13018",52070,"SABULA","IA",42.06,-90.17,522,903,15656056
"13019",50583,"SAC CITY","IA",42.42,-94.99,1349,2356,36228125
"13021",50472,"SAINT ANSGAR","IA",43.37,-92.91,1020,1906,31684777
"13024",50240,"SAINT CHARLES","IA",41.28,-93.8,1042,1990,48031625
"13029",52649,"SALEM","IA",40.85,-91.62,465,831,13131097
"13030",51052,"SALIX","IA",42.3,-96.28,468,845,18300835
"13031",51248,"SANBORN","IA",43.18,-95.65,862,1563,22122165
"13033",51053,"SCHALLER","IA",42.49,-95.29,577,1036,15722989
"13034",51461,"SCHLESWIG","IA",42.16,-95.43,580,1032,16056173
"13035",51462,"SCRANTON","IA",42.02,-94.54,520,930,13190667
"13037",51054,"SERGEANT BLUFF","IA",42.4,-96.35,2351,4440,101937577
"13038",52590,"SEYMOUR","IA",40.68,-93.12,453,855,9404507
"13043",50475,"SHEFFIELD","IA",42.89,-93.21,763,1407,25478272
"13045",51201,"SHELDON","IA",43.17,-95.84,2855,5070,86645653
"13047",50670,"SHELL ROCK","IA",42.71,-92.58,990,1784,33503085
"13048",52332,"SHELLSBURG","IA",42.09,-91.86,944,1728,37363081
"13049",52039,"DURANGO","IA",42.56,-90.77,568,1079,20100697
"13050",52073,"SHERRILL","IA",42.6,-90.78,703,1312,22986267
"13051",51249,"SIBLEY","IA",43.4,-95.74,1673,2996,47274535
"13052",52591,"SIGOURNEY","IA",41.33,-92.2,1382,2444,38544938
"13053",51250,"SIOUX CENTER","IA",43.07,-96.17,3078,5875,118901813
"13054",51101,"SIOUX CITY","IA",42.5,-96.39,284,367,3303893
"13055",51102,"SIOUX CITY","IA",42.5,-96.39,530,854,14163454
"13056",51103,"SIOUX CITY","IA",42.5,-96.39,7193,12587,201055160
"13057",51104,"SIOUX CITY","IA",42.5,-96.39,9890,17252,375359728
"13058",51105,"SIOUX CITY","IA",42.5,-96.39,3800,6486,87973669
"13059",51106,"SIOUX CITY","IA",42.5,-96.39,12413,21521,441762022
"13060",51108,"SIOUX CITY","IA",42.5,-96.39,2647,4731,106955180
"13061",51109,"SIOUX CITY","IA",42.5,-96.39,1463,2525,45069646
"13063",50585,"SIOUX RAPIDS","IA",42.89,-95.14,566,991,15619253
"13064",50244,"SLATER","IA",41.88,-93.68,853,1579,35614067
"13065",51055,"SLOAN","IA",42.23,-96.22,640,1137,23090991
"13067",52333,"SOLON","IA",41.8,-91.49,2874,5537,160902643
"13070",52335,"SOUTH ENGLISH","IA",41.45,-92.09,303,537,7540174
"13072",51301,"SPENCER","IA",43.14,-95.15,6166,10717,199368997
"13073",52650,"SPERRY","IA",40.95,-91.15,403,752,14777841
"13075",51360,"SPIRIT LAKE","IA",43.42,-95.11,4102,7173,142388169
"13077",52336,"SPRINGVILLE","IA",42.05,-91.44,1085,1995,43508587
"13078",50476,"STACYVILLE","IA",43.43,-92.78,378,656,9021468
"13079",50246,"STANHOPE","IA",42.28,-93.79,350,609,11006322
"13080",52337,"STANWOOD","IA",41.89,-91.15,412,734,12816448
"13081",50247,"STATE CENTER","IA",42.01,-93.16,1063,1995,38420148
"13082",50672,"STEAMBOAT ROCK","IA",42.4,-93.06,269,489,6903165
"13083",52651,"STOCKPORT","IA",40.85,-91.83,292,543,6337933
"13084",52769,"STOCKTON","IA",41.59,-90.85,328,574,9750254
"13085",50588,"STORM LAKE","IA",42.64,-95.19,5624,10128,168482717
"13086",50248,"STORY CITY","IA",42.18,-93.59,2127,3788,79861615
"13088",50249,"STRATFORD","IA",42.27,-93.92,571,1051,18448040
"13089",52076,"STRAWBERRY POINT","IA",42.68,-91.53,1061,1916,28302708
"13090",50250,"STUART","IA",41.5,-94.31,1055,1868,32357506
"13091",50251,"SULLY","IA",41.57,-92.84,638,1230,23629554
"13092",50674,"SUMNER","IA",42.84,-92.09,1689,3108,52733625
"13095",51058,"SUTHERLAND","IA",42.97,-95.49,514,891,12279589
"13097",50590,"SWEA CITY","IA",43.38,-94.31,428,753,9818149
"13099",52338,"SWISHER","IA",41.84,-91.69,1527,2966,99882906
"13100",52339,"TAMA","IA",41.96,-92.57,2138,3686,50729922
"13101",51463,"TEMPLETON","IA",41.91,-94.94,282,523,8023389
"13102",51364,"TERRIL","IA",43.3,-94.96,350,626,7716508
"13104",50478,"THOMPSON","IA",43.36,-93.77,393,694,9872891
"13107",50479,"THORNTON","IA",42.94,-93.38,295,546,8513414
"13108",52340,"TIFFIN","IA",41.7,-91.67,1055,1820,45733135
"13110",52772,"TIPTON","IA",41.77,-91.12,2372,4232,82712356
"13111",50480,"TITONKA","IA",43.23,-94.04,440,773,9965797
"13112",52342,"TOLEDO","IA",41.99,-92.58,1505,2656,42015788
"13114",50675,"TRAER","IA",42.19,-92.46,1100,2001,33413906
"13115",50676,"TRIPOLI","IA",42.8,-92.25,887,1654,30240739
"13118",50257,"TRURO","IA",41.21,-93.84,386,767,15645952
"13120",50258,"UNION","IA",42.24,-93.06,379,678,10793294
"13124",52345,"URBANA","IA",42.22,-91.87,609,1219,31234669
"13125",51060,"UTE","IA",42.04,-95.7,305,539,6447135
"13126",51465,"VAIL","IA",42.05,-95.2,370,674,8824458
"13127",52346,"VAN HORNE","IA",42.01,-92.09,545,1007,18610532
"13128",50261,"VAN METER","IA",41.53,-93.95,987,1855,51727234
"13131",50482,"VENTURA","IA",43.12,-93.45,442,791,14513433
"13132",52347,"VICTOR","IA",41.73,-92.29,717,1262,24221110
"13133",50864,"VILLISCA","IA",40.93,-94.97,933,1681,24850601
"13136",52349,"VINTON","IA",42.16,-92.02,3396,6095,113441312
"13139",52773,"WALCOTT","IA",41.59,-90.77,1186,2086,42351839
"13140",52351,"WALFORD","IA",41.87,-91.83,633,1309,38459046
"13141",52352,"WALKER","IA",42.28,-91.78,914,1761,35811741
"13143",51466,"WALL LAKE","IA",42.26,-95.09,522,936,15066291
"13144",52653,"WAPELLO","IA",41.17,-91.18,1594,2893,51701946
"13145",52353,"WASHINGTON","IA",41.29,-91.69,4278,7601,128621303
"13147",50701,"WATERLOO","IA",42.49,-92.35,14298,24230,561012096
"13148",50702,"WATERLOO","IA",42.49,-92.35,9452,15833,270788726
"13149",50703,"WATERLOO","IA",42.49,-92.35,8252,13807,201147237
"13150",50704,"WATERLOO","IA",42.49,-92.35,600,902,12836333
"13151",50707,"EVANSDALE","IA",42.46,-92.27,3798,6546,113067103
"13153",52171,"WAUCOMA","IA",43.05,-92.03,491,898,11944941
"13154",50263,"WAUKEE","IA",41.6,-93.86,6423,12093,412354771
"13155",52172,"WAUKON","IA",43.26,-91.47,2966,5195,80909697
"13156",50677,"WAVERLY","IA",42.72,-92.46,5092,9167,200249087
"13157",52654,"WAYLAND","IA",41.14,-91.65,758,1384,21881052
"13159",50595,"WEBSTER CITY","IA",42.46,-93.81,4357,7601,141547588
"13161",52356,"WELLMAN","IA",41.46,-91.83,1195,2204,36742486
"13162",50680,"WELLSBURG","IA",42.43,-92.92,546,988,16821864
"13164",50483,"WESLEY","IA",43.08,-93.99,375,689,9245888
"13165",50597,"WEST BEND","IA",42.96,-94.44,683,1186,15999293
"13166",52358,"WEST BRANCH","IA",41.67,-91.34,1797,3224,70892338
"13167",52655,"WEST BURLINGTON","IA",40.82,-91.17,2167,3726,66884633
"13169",51062,"WESTFIELD","IA",42.75,-96.6,262,496,8924511
"13170",52776,"WEST LIBERTY","IA",41.57,-91.26,2133,4010,75979515
"13171",52656,"WEST POINT","IA",40.71,-91.45,1162,2091,40097633
"13173",51467,"WESTSIDE","IA",42.07,-95.1,319,553,8461481
"13174",52175,"WEST UNION","IA",42.95,-91.81,1636,2895,46880030
"13175",52658,"WEVER","IA",40.71,-91.23,507,921,17552609
"13176",50268,"WHAT CHEER","IA",41.4,-92.35,433,776,11830592
"13178",52777,"WHEATLAND","IA",41.83,-90.83,627,1131,17791152
"13179",51063,"WHITING","IA",42.12,-96.15,507,915,14654843
"13180",50598,"WHITTEMORE","IA",43.06,-94.42,429,797,12000366
"13182",50271,"WILLIAMS","IA",42.49,-93.54,303,540,6444147
"13183",52361,"WILLIAMSBURG","IA",41.66,-92,2265,4061,81274789
"13185",52778,"WILTON","IA",41.58,-91.02,1902,3454,74529262
"13186",52659,"WINFIELD","IA",41.12,-91.43,730,1315,20805633
"13187",50273,"WINTERSET","IA",41.33,-94.01,3520,6575,141887813
