"","Zipcode","City","State","Lat","Long","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"13",7675,"WESTWOOD","NJ",40.98,-74.03,13245,24083,1089095041
"14",7677,"WOODCLIFF LAKE","NJ",41.02,-74.05,2945,5471,325436960
"15",7885,"WHARTON","NJ",40.89,-74.58,5273,8999,240827990
"16",7981,"WHIPPANY","NJ",40.82,-74.41,4585,8057,292096795
"19",8889,"WHITEHOUSE STATION","NJ",40.6,-74.76,4691,8570,401312434
"20",7095,"WOODBRIDGE","NJ",40.55,-74.28,10018,17272,528315021
"21",7481,"WYCKOFF","NJ",40.99,-74.16,8079,15208,896273759
"22",10451,"BRONX","NY",40.84,-73.87,19434,31477,471446942
"23",10452,"BRONX","NY",40.84,-73.87,33517,56277,723508523
"24",10453,"BRONX","NY",40.84,-73.87,34152,57691,699611756
"25",10454,"BRONX","NY",40.84,-73.87,13139,22387,273119576
"26",10455,"BRONX","NY",40.84,-73.87,14914,25139,325274189
"27",10456,"BRONX","NY",40.84,-73.87,34793,58750,732907466
"28",10457,"BRONX","NY",40.84,-73.87,29023,48779,614273091
"29",10458,"BRONX","NY",40.84,-73.87,29920,50085,693447254
"30",10459,"BRONX","NY",40.84,-73.87,17977,30434,414021653
"31",10460,"BRONX","NY",40.84,-73.87,23466,39507,531807385
"32",10461,"BRONX","NY",40.84,-73.87,21862,35421,839765651
"33",10462,"BRONX","NY",40.84,-73.87,35620,57854,1197519842
"34",10463,"BRONX","NY",40.84,-73.87,31592,50313,1284853119
"35",10464,"BRONX","NY",40.84,-73.87,2131,3381,108256016
"36",10465,"BRONX","NY",40.84,-73.87,18686,30798,817052868
"37",10466,"BRONX","NY",40.84,-73.87,29153,47658,924776075
"38",10467,"BRONX","NY",40.84,-73.87,39540,64907,1114305720
"39",10468,"BRONX","NY",40.84,-73.87,34706,55824,840612915
"40",10469,"BRONX","NY",40.84,-73.87,28964,47625,1017556583
"41",10470,"BRONX","NY",40.84,-73.87,7000,10880,260963512
"42",10471,"BRONX","NY",40.84,-73.87,9876,15606,623827705
"43",10472,"BRONX","NY",40.84,-73.87,26025,43761,630416228
"44",10473,"BRONX","NY",40.84,-73.87,26122,42812,817850845
"45",10474,"BRONX","NY",40.84,-73.87,4369,7377,97578251
"46",10475,"BRONX","NY",40.84,-73.87,21124,31659,740068715
"48",10001,"NEW YORK","NY",40.71,-73.99,12534,16553,1031960117
"49",10002,"NEW YORK","NY",40.71,-73.99,45236,70604,1394042364
"51",10004,"NEW YORK","NY",40.71,-73.99,1967,2909,333623384
"52",10005,"NEW YORK","NY",40.71,-73.99,4697,6293,791578339
"53",10006,"NEW YORK","NY",40.71,-73.99,2236,2849,240075649
"54",10007,"NEW YORK","NY",40.71,-73.99,3551,5396,1143186856
"55",10008,"NEW YORK","NY",40.71,-73.99,550,732,27103411
"56",10009,"NEW YORK","NY",40.71,-73.99,31275,42731,1572036810
"57",10010,"NEW YORK","NY",40.71,-73.99,17401,22785,2084544435
"58",10011,"NEW YORK","NY",40.71,-73.99,30434,38784,1264531973
"59",10012,"NEW YORK","NY",40.71,-73.99,13415,17738,1529644615
"60",10013,"NEW YORK","NY",40.71,-73.99,15981,24199,450956340
"62",10016,"NEW YORK","NY",40.71,-73.99,31673,40683,1412438620
"63",10017,"NEW YORK","NY",40.71,-73.99,15803,19975,1685441363
"64",10018,"NEW YORK","NY",40.71,-73.99,4416,5928,810026753
"66",10020,"NEW YORK","NY",40.71,-73.99,1134,1926,207363546
"67",10021,"NEW YORK","NY",40.77,-73.95,29820,42627,1022024689
"68",10022,"NEW YORK","NY",40.71,-73.99,20815,29014,731534552
"69",10023,"NEW YORK","NY",40.71,-73.99,34334,48044,1270483799
"70",10024,"NEW YORK","NY",40.71,-73.99,31925,47261,1108944328
"71",10025,"NEW YORK","NY",40.71,-73.99,47778,70190,1675737238
"72",10026,"NEW YORK","NY",40.71,-73.99,16054,24221,647150670
"73",10027,"NEW YORK","NY",40.71,-73.99,25372,37948,918919244
"74",10028,"NEW YORK","NY",40.71,-73.99,25557,36525,964357485
"75",10029,"NEW YORK","NY",40.71,-73.99,31490,48403,1050141146
"76",10030,"NEW YORK","NY",40.71,-73.99,11541,17771,345769267
"77",10031,"NEW YORK","NY",40.71,-73.99,26900,40901,718068721
"78",10032,"NEW YORK","NY",40.71,-73.99,29755,45758,754754912
"79",10033,"NEW YORK","NY",40.71,-73.99,30134,45474,881087274
"80",10034,"NEW YORK","NY",40.71,-73.99,20855,32614,604187876
"240",2478,"BELMONT","MA",42.39,-71.18,12132,21169,955500316
"242",2445,"BROOKLINE","MA",42.32,-71.14,10219,16149,871688763
"243",2446,"BROOKLINE","MA",42.32,-71.14,14601,21302,1038890274
"245",2420,"LEXINGTON","MA",42.44,-71.23,7062,13148,741054557
"246",2421,"LEXINGTON","MA",42.44,-71.23,8122,15237,791322042
"247",2492,"NEEDHAM","MA",42.28,-71.24,9394,17587,1060369022
"248",2494,"NEEDHAM HEIGHTS","MA",42.28,-71.24,4334,7910,368848894
"250",2458,"NEWTON","MA",42.33,-71.2,6418,10355,498332466
"251",2459,"NEWTON CENTER","MA",42.31,-71.19,9031,16153,906510839
"252",2460,"NEWTONVILLE","MA",42.35,-71.2,4687,7764,361543245
"253",2461,"NEWTON HIGHLANDS","MA",42.31,-71.2,3521,6253,358055277
"254",2462,"NEWTON LOWER FALLS","MA",42.33,-71.25,689,1184,50636755
"255",2464,"NEWTON UPPER FALLS","MA",42.31,-71.22,1539,2480,93569510
"256",2465,"WEST NEWTON","MA",42.35,-71.22,5887,10288,583545368
"257",2466,"AUBURNDALE","MA",42.34,-71.24,3366,5838,255483758
"282",2467,"CHESTNUT HILL","MA",42.31,-71.16,7725,13071,812720425
"283",2468,"WABAN","MA",42.32,-71.23,2772,5140,339797445
"285",2451,"WALTHAM","MA",42.38,-71.24,9097,14526,491563149
"286",2452,"WALTHAM","MA",42.38,-71.24,6253,9731,321542033
"287",2453,"WALTHAM","MA",42.38,-71.24,13382,20076,608496212
"288",2454,"WALTHAM","MA",42.38,-71.24,348,473,10362378
"291",2472,"WATERTOWN","MA",42.36,-71.17,17710,26221,892807332
"294",2481,"WELLESLEY HILLS","MA",42.31,-71.27,6960,13012,1359908283
"295",2482,"WELLESLEY","MA",42.3,-71.28,4782,8821,725439303
"296",2493,"WESTON","MA",42.36,-71.26,5417,9839,1150142875
"297",2184,"BRAINTREE","MA",42.2,-71,17935,30406,941914537
"299",2186,"MILTON","MA",42.24,-71.08,12912,22628,1001964272
"301",2169,"QUINCY","MA",42.26,-71,28140,43214,1238343865
"302",2170,"QUINCY","MA",42.26,-71,10181,16193,417072030
"303",2171,"QUINCY","MA",42.26,-71,10118,15503,471739743
"304",2269,"QUINCY","MA",42.26,-71,306,426,10946967
"305",2188,"WEYMOUTH","MA",42.2,-70.94,7491,12116,342621794
"306",2189,"EAST WEYMOUTH","MA",42.2,-70.94,7242,11769,324178175
"307",2190,"SOUTH WEYMOUTH","MA",42.2,-70.94,8381,13851,412748129
"308",2191,"NORTH WEYMOUTH","MA",42.2,-70.94,4523,7287,199695113
"309",1718,"VILLAGE OF NAGOG WOODS","MA",42.51,-71.41,306,580,23316067
"310",1719,"BOXBOROUGH","MA",42.5,-71.5,2581,4749,212380442
"311",1720,"ACTON","MA",42.48,-71.46,9967,19114,917472012
"312",2474,"ARLINGTON","MA",42.41,-71.16,13880,22275,838343474
"314",2476,"ARLINGTON","MA",42.41,-71.16,8505,14383,585309228
"315",2150,"CHELSEA","MA",42.39,-71.03,14659,23718,451124760
"316",2149,"EVERETT","MA",42.4,-71.05,18742,30367,612913534
"317",2152,"WINTHROP","MA",42.37,-70.98,8929,14181,397723233
"318",2151,"REVERE","MA",42.41,-70.99,24321,38954,817248740
"319",2148,"MALDEN","MA",42.43,-71.05,29313,47104,1135121207
"320",2176,"MELROSE","MA",42.45,-71.05,13768,23311,809527855
"322",2155,"MEDFORD","MA",42.42,-71.1,28812,44783,1320430597
"324",2143,"SOMERVILLE","MA",42.39,-71.1,13983,18622,593097281
"325",2144,"SOMERVILLE","MA",42.39,-71.1,13800,18051,665824100
"326",2145,"SOMERVILLE","MA",42.39,-71.1,12724,18704,460150998
"327",2180,"STONEHAM","MA",42.47,-71.09,11515,19086,590223756
"328",1913,"AMESBURY","MA",42.85,-70.92,8287,14037,413947797
"329",1810,"ANDOVER","MA",42.65,-71.14,16462,30346,1580077483
"334",2054,"MILLIS","MA",42.16,-71.35,4029,7110,226979837
"335",1529,"MILLVILLE","MA",42.03,-71.58,1473,2734,75109565
"336",2350,"MONPONSETT","MA",42.02,-70.84,260,447,10617039
"337",2553,"MONUMENT BEACH","MA",41.71,-70.6,641,1031,24119002
"338",2554,"NANTUCKET","MA",41.27,-70.1,5048,7752,195641777
"340",2584,"NANTUCKET","MA",41.27,-70.1,1034,1700,46938856
"341",1760,"NATICK","MA",42.28,-71.35,16452,28611,1168655429
"342",1531,"NEW BRAINTREE","MA",42.31,-72.13,487,865,20971624
"343",1950,"NEWBURYPORT","MA",42.81,-70.88,9069,15198,572238594
"344",1951,"NEWBURY","MA",42.8,-71,1885,3207,105731108
"345",1952,"SALISBURY","MA",42.83,-70.84,4142,6787,162040336
"346",2056,"NORFOLK","MA",42.11,-71.31,4404,8410,358517844
"347",2351,"ABINGTON","MA",42.11,-70.95,8076,13780,406154585
"348",1862,"NORTH BILLERICA","MA",42.57,-71.29,4758,8263,252218694
"349",1532,"NORTHBOROUGH","MA",42.31,-71.64,7078,13113,516896493
"350",1534,"NORTHBRIDGE","MA",42.15,-71.65,2672,4939,156930919
"351",1535,"NORTH BROOKFIELD","MA",42.27,-72.08,2223,3925,90390169
"353",2650,"NORTH CHATHAM","MA",41.7,-69.95,558,861,16776743
"354",1863,"NORTH CHELMSFORD","MA",42.63,-71.39,4556,7753,242656795
"355",2651,"NORTH EASTHAM","MA",41.84,-69.97,985,1499,21744173
"356",2356,"NORTH EASTON","MA",42.05,-71.1,5650,10331,422029575
"358",2556,"NORTH FALMOUTH","MA",41.64,-70.63,1984,3327,93381259
"360",1536,"NORTH GRAFTON","MA",42.23,-71.69,3265,5828,214773967
"362",1537,"NORTH OXFORD","MA",42.16,-71.88,1186,1951,51233021
"364",1864,"NORTH READING","MA",42.56,-71.06,7430,13411,518665929
"367",1430,"ASHBURNHAM","MA",42.63,-71.9,2914,5364,140443240
"368",1431,"ASHBY","MA",42.68,-71.81,1508,2749,69220520
"369",1721,"ASHLAND","MA",42.25,-71.46,8260,14769,564386680
"370",1501,"AUBURN","MA",42.2,-71.83,8341,14232,392017225
"371",2322,"AVON","MA",42.11,-71.03,2294,3831,98754584
"372",1432,"AYER","MA",42.56,-71.58,3632,6017,166253356
"374",1436,"BALDWINVILLE","MA",42.6,-72.07,1381,2457,53840371
"375",2630,"BARNSTABLE","MA",41.7,-70.3,1150,1895,50715110
"376",1730,"BEDFORD","MA",42.48,-71.26,6588,11940,472027119
"377",1731,"HANSCOM AFB","MA",42.46,-71.28,596,1343,28379331
"378",2019,"BELLINGHAM","MA",42.09,-71.47,8331,14707,436408085
"379",1503,"BERLIN","MA",42.38,-71.63,1402,2462,88697507
"380",1915,"BEVERLY","MA",42.55,-70.84,18857,31324,1018589958
"381",1821,"BILLERICA","MA",42.55,-71.26,15356,26961,813476069
"383",1504,"BLACKSTONE","MA",42.01,-71.5,4456,7808,198647907
"384",1740,"BOLTON","MA",42.43,-71.6,2293,4456,228442687
"385",2108,"BOSTON","MA",42.35,-71.06,2348,3312,388783474
"386",2109,"BOSTON","MA",42.35,-71.06,2966,4145,284385612
"387",2110,"BOSTON","MA",42.35,-71.06,2950,4313,231268950
"388",2111,"BOSTON","MA",42.35,-71.06,2964,4467,315024986
"389",2112,"BOSTON","MA",42.35,-71.06,306,417,9674464
"390",2113,"BOSTON","MA",42.35,-71.06,4124,4799,229434216
"391",2114,"BOSTON","MA",42.35,-71.06,6447,8116,551322326
"392",2115,"BOSTON","MA",42.35,-71.06,7970,9923,460529282
"393",2116,"BOSTON","MA",42.35,-71.06,10214,13687,1351420353
"394",2117,"BOSTON","MA",42.35,-71.06,309,396,13001966
"395",2118,"BOSTON","MA",42.35,-71.06,12160,16795,893323735
"396",2119,"ROXBURY","MA",42.35,-71.06,11195,17302,323494957
"397",2120,"ROXBURY CROSSING","MA",42.35,-71.06,4992,7048,138391265
"398",2121,"DORCHESTER","MA",42.35,-71.06,10281,16415,265819434
"399",2122,"DORCHESTER","MA",42.35,-71.06,10504,16592,367358854
"400",2123,"BOSTON","MA",42.35,-71.06,270,359,9359735
"401",2124,"DORCHESTER CENTER","MA",42.35,-71.06,21343,33570,728309811
"402",2125,"DORCHESTER","MA",42.35,-71.06,14981,22994,501492850
"403",2126,"MATTAPAN","MA",42.26,-71.1,12276,19266,399176436
"404",2127,"BOSTON","MA",42.35,-71.06,17811,24051,945515117
"405",2128,"BOSTON","MA",42.35,-71.06,17518,27419,545015569
"406",2129,"CHARLESTOWN","MA",42.38,-71.06,9245,13311,726941650
"407",2130,"JAMAICA PLAIN","MA",42.3,-71.11,19207,27060,930225860
"408",2131,"ROSLINDALE","MA",42.28,-71.13,15098,23881,637197973
"409",2132,"WEST ROXBURY","MA",42.28,-71.16,13457,21756,751009680
"411",2134,"ALLSTON","MA",42.35,-71.13,9592,12051,310662266
"412",2135,"BRIGHTON","MA",42.35,-71.15,21268,27370,855471186
"413",2136,"HYDE PARK","MA",42.26,-71.11,14261,23209,549863633
"415",2163,"BOSTON","MA",42.35,-71.06,630,723,46464955
"416",2196,"BOSTON","MA",42.35,-71.06,521,780,56979484
"417",2199,"BOSTON","MA",42.35,-71.06,926,1239,131945542
"421",2205,"BOSTON","MA",42.35,-71.06,1063,1513,36858731
"423",2210,"BOSTON","MA",42.35,-71.06,1130,1495,125277777
"426",2215,"BOSTON","MA",42.35,-71.06,6084,7098,288003972
"438",1921,"BOXFORD","MA",42.67,-70.98,3837,7331,381701356
"439",1505,"BOYLSTON","MA",42.35,-71.73,2235,3993,154598338
"440",2020,"BRANT ROCK","MA",42.08,-70.64,416,661,19450731
"441",2631,"BREWSTER","MA",41.76,-70.08,5179,8575,167998522
"442",2324,"BRIDGEWATER","MA",41.98,-70.97,10960,19223,572230266
"444",2301,"BROCKTON","MA",42.08,-71.02,26639,44024,893244392
"445",2302,"BROCKTON","MA",42.08,-71.02,14983,25132,542792129
"446",2303,"BROCKTON","MA",42.08,-71.02,700,1124,22756824
"449",1506,"BROOKFIELD","MA",42.21,-72.1,1665,2920,68732705
"450",2327,"BRYANTVILLE","MA",42.06,-70.8,328,526,11061702
"451",1803,"BURLINGTON","MA",42.5,-71.2,12671,22104,728010164
"453",2532,"BUZZARDS BAY","MA",41.75,-70.61,5340,8780,209927645
"454",2542,"BUZZARDS BAY","MA",41.75,-70.61,269,581,9999157
"455",1922,"BYFIELD","MA",42.75,-70.93,1555,2848,99724975
"456",2138,"CAMBRIDGE","MA",42.37,-71.11,15668,21578,1027911979
"457",2139,"CAMBRIDGE","MA",42.37,-71.11,19543,25969,971287414
"458",2140,"CAMBRIDGE","MA",42.37,-71.11,9746,14277,528814265
"459",2141,"CAMBRIDGE","MA",42.37,-71.11,6125,8418,310303911
"460",2142,"CAMBRIDGE","MA",42.37,-71.11,1504,2011,109677520
"461",2238,"CAMBRIDGE","MA",42.37,-71.11,390,494,13719030
"462",2021,"CANTON","MA",42.15,-71.13,10887,18954,736904131
"463",1741,"CARLISLE","MA",42.53,-71.35,2421,4692,296809193
"464",2330,"CARVER","MA",41.88,-70.76,5278,9328,238966437
"465",2534,"CATAUMET","MA",41.66,-70.61,529,855,23227948
"466",2632,"CENTERVILLE","MA",41.66,-70.34,5785,9476,219173799
"468",1507,"CHARLTON","MA",42.13,-71.96,5909,10873,321653214
"470",1508,"CHARLTON CITY","MA",42.13,-71.96,476,795,19633278
"471",2633,"CHATHAM","MA",41.67,-69.96,2191,3482,67503884
"472",1824,"CHELMSFORD","MA",42.59,-71.36,12912,23196,794814017
"473",2535,"CHILMARK","MA",41.34,-70.74,605,1000,19027009
"475",1510,"CLINTON","MA",42.41,-71.68,6969,11365,285300523
"476",2025,"COHASSET","MA",42.23,-70.8,3485,6515,426391994
"477",1742,"CONCORD","MA",42.45,-71.35,8368,15042,923189072
"478",2635,"COTUIT","MA",41.62,-70.44,1868,3159,83464453
"479",2652,"NORTH TRURO","MA",42.04,-70.09,461,718,11258057
"480",1538,"NORTH UXBRIDGE","MA",42.05,-71.64,303,491,10088473
"481",2061,"NORWELL","MA",42.16,-70.78,4995,9372,447651996
"482",2062,"NORWOOD","MA",42.18,-71.19,14728,24326,730265400
"484",2557,"OAK BLUFFS","MA",41.45,-70.56,1582,2451,48137834
"485",2558,"ONSET","MA",41.74,-70.66,1195,1831,35269964
"486",2653,"ORLEANS","MA",41.79,-70,2891,4418,80664330
"487",2655,"OSTERVILLE","MA",41.62,-70.38,1995,3222,85206486
"488",1540,"OXFORD","MA",42.11,-71.87,5450,9660,250160644
"489",1960,"PEABODY","MA",42.53,-70.97,26295,43688,1088161990
"491",2359,"PEMBROKE","MA",42.06,-70.8,8334,15037,467870357
"492",1463,"PEPPERELL","MA",42.66,-71.58,5549,10100,310246738
"494",2360,"PLYMOUTH","MA",41.95,-70.66,25562,44333,1245239211
"496",2362,"PLYMOUTH","MA",41.95,-70.66,580,902,23189079
"497",2367,"PLYMPTON","MA",41.95,-70.81,1394,2488,70555383
"498",2559,"POCASSET","MA",41.69,-70.63,1778,2864,61565616
"500",1541,"PRINCETON","MA",42.45,-71.86,1745,3224,122908259
"501",2657,"PROVINCETOWN","MA",42.06,-70.2,2474,3084,60762345
"502",2368,"RANDOLPH","MA",42.17,-71.05,16060,26599,668926640
"503",1867,"READING","MA",42.53,-71.1,11926,21499,808066167
"504",1542,"ROCHDALE","MA",42.2,-71.9,1097,1907,48317521
"505",2370,"ROCKLAND","MA",42.13,-70.91,8794,14690,372071550
"506",1966,"ROCKPORT","MA",42.64,-70.61,3847,6287,163627573
"507",1969,"ROWLEY","MA",42.71,-70.87,2926,5259,182610213
"508",1543,"RUTLAND","MA",42.36,-71.95,3637,6893,201965675
"509",2561,"SAGAMORE","MA",41.78,-70.53,432,722,13592049
"510",2562,"SAGAMORE BEACH","MA",41.79,-70.53,1655,2870,78102880
"511",1970,"SALEM","MA",42.51,-70.9,20662,32194,863806447
"513",2563,"SANDWICH","MA",41.75,-70.49,5404,9499,254396980
"517",2066,"SCITUATE","MA",42.18,-70.73,8348,14992,603071866
"518",2067,"SHARON","MA",42.11,-71.18,8450,16154,684110024
"520",1770,"SHERBORN","MA",42.23,-71.36,2084,3937,306490259
"521",1464,"SHIRLEY","MA",42.54,-71.65,2839,5028,141990255
"522",1545,"SHREWSBURY","MA",42.3,-71.71,16729,30759,1128461189
"524",1745,"FAYVILLE","MA",42.29,-71.5,260,430,16369021
"525",1772,"SOUTHBOROUGH","MA",42.3,-71.51,4493,8678,514538912
"526",1550,"SOUTHBRIDGE","MA",42.08,-72.03,8034,13355,264900140
"528",2659,"SOUTH CHATHAM","MA",41.68,-70.02,594,985,16124247
"529",2660,"SOUTH DENNIS","MA",41.7,-70.15,3220,5219,96872076
"530",2375,"SOUTH EASTON","MA",42.03,-71.1,4943,8528,280082384
"531",1560,"SOUTH GRAFTON","MA",42.17,-71.68,2022,3675,123503278
"532",1982,"SOUTH HAMILTON","MA",42.62,-70.86,3513,6501,296420268
"534",1561,"SOUTH LANCASTER","MA",42.43,-71.69,568,925,18926831
"535",2662,"SOUTH ORLEANS","MA",41.75,-69.99,518,840,17204775
"536",2071,"SOUTH WALPOLE","MA",42.09,-71.27,508,934,31599301
"537",2663,"SOUTH WELLFLEET","MA",41.89,-69.98,344,539,6973313
"538",2664,"SOUTH YARMOUTH","MA",41.67,-70.2,5288,8289,139298590
"539",2673,"WEST YARMOUTH","MA",41.65,-70.24,4460,6986,125350712
"540",1562,"SPENCER","MA",42.24,-71.99,5651,9747,232817923
"541",1564,"STERLING","MA",42.43,-71.75,3839,7104,239389583
"543",2072,"STOUGHTON","MA",42.11,-71.1,13827,23389,636047711
"544",1775,"STOW","MA",42.43,-71.5,3257,6132,266358773
"545",1518,"FISKDALE","MA",42.12,-72.11,1438,2639,82818972
"546",1566,"STURBRIDGE","MA",42.09,-72.06,3285,5934,191789589
"547",1776,"SUDBURY","MA",42.36,-71.4,8219,16252,1120565191
"548",1590,"SUTTON","MA",42.15,-71.76,4143,7702,275754993
"549",1468,"TEMPLETON","MA",42.55,-72.06,1943,3579,90728674
"550",1876,"TEWKSBURY","MA",42.61,-71.23,14632,25645,790024913
"551",1983,"TOPSFIELD","MA",42.63,-70.95,2931,5449,271569529
"552",1469,"TOWNSEND","MA",42.66,-71.7,3457,6266,175478972
"553",1474,"WEST TOWNSEND","MA",42.66,-71.74,1035,1866,50583574
"554",2666,"TRURO","MA",42,-70.06,700,1015,20490976
"555",1879,"TYNGSBORO","MA",42.68,-71.41,5661,10293,339893447
"556",1569,"UXBRIDGE","MA",42.08,-71.6,6139,11159,328316045
"557",2568,"VINEYARD HAVEN","MA",41.45,-70.6,3755,5903,121204141
"559",1880,"WAKEFIELD","MA",42.5,-71.06,13167,22162,735717051
"560",2081,"WALPOLE","MA",42.13,-71.24,9254,16471,634612432
"561",2571,"WAREHAM","MA",41.76,-70.71,5062,8360,183129110
"562",1778,"WAYLAND","MA",42.36,-71.36,6632,12273,695050435
"563",1570,"WEBSTER","MA",42.04,-71.87,8006,13308,313419006
"564",1571,"DUDLEY","MA",42.05,-71.93,5172,9200,235495072
"565",2667,"WELLFLEET","MA",41.93,-70.03,1406,2145,34818321
"566",2637,"CUMMAQUID","MA",41.7,-70.24,336,549,11898969
"567",1923,"DANVERS","MA",42.57,-70.95,13881,23360,685252309
"568",2026,"DEDHAM","MA",42.24,-71.17,12176,20528,707820906
"570",2638,"DENNIS","MA",41.73,-70.2,1804,2894,54843853
"571",2639,"DENNIS PORT","MA",41.66,-70.13,1787,2683,41536390
"572",2030,"DOVER","MA",42.24,-71.27,2711,5123,457532501
"573",1826,"DRACUT","MA",42.66,-71.3,15154,26388,726580209
"574",1827,"DUNSTABLE","MA",42.66,-71.48,1501,2850,110787540
"575",2331,"DUXBURY","MA",42.04,-70.67,1001,1673,67597887
"576",2332,"DUXBURY","MA",42.04,-70.67,6267,11874,568634746
"577",2333,"EAST BRIDGEWATER","MA",42.03,-70.95,6652,11875,327489308
"578",1515,"EAST BROOKFIELD","MA",42.22,-72.04,1124,1985,49848583
"579",2641,"EAST DENNIS","MA",41.74,-70.15,856,1381,24197920
"580",1516,"DOUGLAS","MA",42.05,-71.73,4028,7565,222478072
"581",2536,"EAST FALMOUTH","MA",41.56,-70.55,10060,16726,356859416
"582",2642,"EASTHAM","MA",41.83,-69.96,2061,3336,55048701
"584",2643,"EAST ORLEANS","MA",41.74,-69.98,661,1081,26076809
"586",2537,"EAST SANDWICH","MA",41.73,-70.43,3089,5529,165890731
"587",1438,"EAST TEMPLETON","MA",42.53,-72.05,361,614,12555773
"588",2032,"EAST WALPOLE","MA",42.15,-71.21,2082,3705,133930220
"589",2538,"EAST WAREHAM","MA",41.77,-70.64,2221,3657,75660943
"590",2539,"EDGARTOWN","MA",41.38,-70.53,2657,4236,90215623
"592",1929,"ESSEX","MA",42.63,-70.77,1700,2928,97298087
"593",2540,"FALMOUTH","MA",41.56,-70.62,3766,5909,137385371
"594",2541,"FALMOUTH","MA",41.54,-70.6,392,571,12349354
"595",2543,"WOODS HOLE","MA",41.52,-70.66,563,834,22887085
"596",1521,"HOLLAND","MA",42.05,-72.15,1198,2069,54360818
"597",1420,"FITCHBURG","MA",42.58,-71.81,17187,28652,587926246
"598",2644,"FORESTDALE","MA",41.68,-70.5,2110,3812,94878895
"599",2035,"FOXBORO","MA",42.06,-71.24,8487,14783,525453762
"600",1701,"FRAMINGHAM","MA",42.3,-71.43,15887,27821,961763655
"601",1702,"FRAMINGHAM","MA",42.3,-71.43,14486,23402,578622599
"605",2038,"FRANKLIN","MA",42.08,-71.38,14611,27220,1034537207
"606",1440,"GARDNER","MA",42.58,-71.98,8998,15067,321988574
"607",1930,"GLOUCESTER","MA",42.62,-70.66,14448,23856,614688891
"608",1931,"GLOUCESTER","MA",42.62,-70.66,305,442,9595291
"609",1519,"GRAFTON","MA",42.2,-71.68,3318,6093,242085969
"610",2041,"GREEN HARBOR","MA",42.1,-70.71,478,770,21608051
"611",1450,"GROTON","MA",42.6,-71.57,4806,9198,381835186
"614",2338,"HALIFAX","MA",41.98,-70.86,3868,6682,180548770
"616",2339,"HANOVER","MA",42.11,-70.81,6726,12397,470365705
"618",2341,"HANSON","MA",42.06,-70.85,4716,8504,241589984
"619",1451,"HARVARD","MA",42.5,-71.58,2463,4672,254974042
"620",2645,"HARWICH","MA",41.69,-70.07,5012,8325,158723223
"621",2646,"HARWICH PORT","MA",41.66,-70.06,1133,1742,28564508
"623",1830,"HAVERHILL","MA",42.78,-71.08,11673,19190,466330158
"624",1831,"HAVERHILL","MA",42.78,-71.08,405,632,11201384
"625",1832,"HAVERHILL","MA",42.78,-71.08,10565,17585,444440190
"626",1833,"GEORGETOWN","MA",42.73,-70.98,3920,7314,260401999
"627",1834,"GROVELAND","MA",42.75,-71.03,3269,5915,174613020
"628",1835,"HAVERHILL","MA",42.78,-71.08,6959,11875,334394319
"630",2043,"HINGHAM","MA",42.23,-70.88,10776,19512,1130691780
"632",2343,"HOLBROOK","MA",42.14,-71,5444,9085,241242817
"633",1520,"HOLDEN","MA",42.35,-71.85,6941,12865,405439753
"634",1746,"HOLLISTON","MA",42.2,-71.43,6833,12696,495435566
"635",1747,"HOPEDALE","MA",42.12,-71.54,2930,5323,171710225
"636",1748,"HOPKINTON","MA",42.22,-71.52,6710,13078,748848462
"637",1452,"HUBBARDSTON","MA",42.48,-72.01,2087,3932,109616431
"638",1749,"HUDSON","MA",42.39,-71.56,9567,16503,486605672
"639",2045,"HULL","MA",42.3,-70.9,5743,8990,266299156
"640",2047,"HUMAROCK","MA",42.19,-70.76,377,595,13510944
"641",2601,"HYANNIS","MA",41.65,-70.29,6944,10685,182300442
"642",2647,"HYANNIS PORT","MA",41.64,-70.3,253,397,7935369
"643",1938,"IPSWICH","MA",42.67,-70.83,6782,11683,408617757
"644",1522,"JEFFERSON","MA",42.38,-71.87,1672,2984,93338120
"645",1523,"LANCASTER","MA",42.45,-71.66,2642,4777,151622063
"646",1840,"LAWRENCE","MA",42.7,-71.16,2254,3383,49781192
"647",1841,"LAWRENCE","MA",42.7,-71.16,20076,33432,444889883
"648",1842,"LAWRENCE","MA",42.7,-71.16,737,1174,17996815
"649",1843,"LAWRENCE","MA",42.7,-71.16,11158,18352,322711763
"650",1844,"METHUEN","MA",42.71,-71.18,23900,40836,1022105701
"651",1845,"NORTH ANDOVER","MA",42.7,-71.11,13498,24329,1013667992
"652",1524,"LEICESTER","MA",42.25,-71.9,3194,5678,148407645
"653",1453,"LEOMINSTER","MA",42.51,-71.77,20099,34034,819352735
"654",1773,"LINCOLN","MA",42.41,-71.3,2763,4870,321098889
"655",1525,"LINWOOD","MA",42.05,-71.64,422,677,14775291
"656",1460,"LITTLETON","MA",42.53,-71.47,4327,8001,300228573
"657",1850,"LOWELL","MA",42.63,-71.32,6713,11001,222920009
"658",1851,"LOWELL","MA",42.63,-71.32,14318,23694,484739887
"659",1852,"LOWELL","MA",42.63,-71.32,15022,23950,573609990
"660",1853,"LOWELL","MA",42.63,-71.32,824,1292,24480415
"661",1854,"LOWELL","MA",42.63,-71.32,10714,17446,373376711
"662",1462,"LUNENBURG","MA",42.59,-71.72,5090,9073,264013661
"663",1901,"LYNN","MA",42.47,-70.96,830,1155,22363981
